movie;distribution type;total investment;total revenue;net profit;roi percentage
The Others;Theatrical;25.50;283.37;257.87;1011.25
Bram Stoker Dracula;Theatrical;60.00;291.33;231.33;385.55
Interview with the Vampire;Theatrical;90.00;302.00;212.00;235.56
Van Helsing;Theatrical;240.00;405.27;165.27;68.86
Sweeney Todd;Theatrical;75.00;207.09;132.09;176.12
Sleepy Hollow;Theatrical;150.00;278.24;128.24;85.49
The Craft;Theatrical;22.50;75.20;52.70;234.22
From Hell;Theatrical;52.50;100.58;48.08;91.58
Guillermo del Toros Pinocchio;Streaming;40.25;85.00;44.75;111.18
Knock at the Cabin;Streaming;23.00;54.00;31.00;134.78
No One Will Save You;Streaming;25.30;45.00;19.70;77.87
Crimson Peak;Theatrical;82.50;100.85;18.35;22.24
Mr. Harrigans Phone;Streaming;18.40;35.00;16.60;90.22
The Pale Blue Eye;Streaming;82.80;95.00;12.20;14.73
My Best Friends Exorcism;Streaming;17.25;28.00;10.75;62.32
Run Rabbit Run;Streaming;13.80;22.00;8.20;59.42
I Frankenstein;Theatrical;97.50;103.68;6.18;6.34
Velvet Buzzsaw;Streaming;24.15;30.00;5.85;24.22
Theres Something Wrong with the Children;Streaming;9.20;14.00;4.80;52.17
Only Lovers Left Alive;Theatrical;10.50;10.26;-0.24;-2.29
Victor Frankenstein;Theatrical;60.00;46.17;-13.83;-23.05
Frankenstein;Streaming;138.00;110.00;-28.00;-20.29
The Wolfman;Theatrical;225.00;192.51;-32.49;-14.44
