subgenre;movie count;average investment;average revenue;average net profit;average roi %
Haunted House/Ghost;1;25.50;283.37;257.87;1011.25
Vampire Romance;1;60.00;291.33;231.33;385.55
Vampire Drama;1;90.00;302.00;212.00;235.56
Gothic Musical;1;75.00;207.09;132.09;176.12
Supernatural Mystery;1;150.00;278.24;128.24;85.49
Dark Fantasy;2;140.13;245.14;105.01;90.02
Gothic Witchcraft;1;22.50;75.20;52.70;234.22
Psychological Gothic;1;23.00;54.00;31.00;134.78
Gothic Mystery;2;67.65;97.79;30.14;53.16
Sci-Fi Horror;1;25.30;45.00;19.70;77.87
Gothic Drama;1;18.40;35.00;16.60;90.22
Gothic Comedy;1;17.25;28.00;10.75;62.32
Gothic Romance;2;46.50;55.56;9.06;9.98
Psychological Horror;1;13.80;22.00;8.20;59.42
Action Gothic;1;97.50;103.68;6.18;6.34
Satirical Horror;1;24.15;30.00;5.85;24.22
Mystery Horror;1;9.20;14.00;4.80;52.17
Gothic Sci-Fi;1;60.00;46.17;-13.83;-23.05
Gothic Horror;1;138.00;110.00;-28.00;-20.29
Werewolf Gothic;1;225.00;192.51;-32.49;-14.44
