movie,director,total cost,box office,secondary revenues,box office only profits,total net profits,secondary revenue shares %
Bram Stoker Dracula,Francis Ford Coppola,60.00,215.80,75.53,155.80,231.33,25.93
Interview with the Vampire,Neil Jordan,90.00,223.70,78.30,133.70,212.00,25.93
Crimson Peak,Guillermo del Toro,82.50,74.70,26.15,-7.80,18.35,25.93
Only Lovers Left Alive,Jim Jarmusch,10.50,7.60,2.66,-2.90,-0.24,25.93
Sleepy Hollow,Tim Burton,150.00,206.10,72.14,56.10,128.24,25.93
The Others,Alejandro Amenabar,25.50,209.90,73.47,184.40,257.87,25.93
Van Helsing,Stephen Sommers,240.00,300.20,105.07,60.20,165.27,25.93
Sweeney Todd,Tim Burton,75.00,153.40,53.69,78.40,132.09,25.93
The Wolfman,Joe Johnston,225.00,142.60,49.91,-82.40,-32.49,25.93
I Frankenstein,Stuart Beattie,97.50,76.80,26.88,-20.70,6.18,25.93
Victor Frankenstein,Paul McGuigan,60.00,34.20,11.97,-25.80,-13.83,25.93
The Craft,Andrew Fleming,22.50,55.70,19.50,33.20,52.70,25.93
From Hell,Albert Hughes,52.50,74.50,26.8,22.00,48.08,25.93
